Product_ID,Product_Name,Variant_Strength,Category,Price_USD,In_Stock,Warehouse_Location,SKU_Code,Short_Description,Full_Description,Molecular_Formula,Molar_Mass,CAS_Number,Synonyms,PubChem_ID,Image_URL,Certificate_of_Analysis_URL,SEO_Title,SEO_Description,Featured,Popularity_Score,Stock_Quantity,Unit_Size,Specification,Temperature_Storage,Shelf_Life,Shipping_Restrictions,Is_Discontinued,Research_Applications,Storage_Requirements,Handling_Guidelines,Notes,Product_Slug
1,Epitalon,10mg,Beauty / Anti-Aging / Antioxidant,35.00,TRUE,Both,ET10,Synthetic tetrapeptide for cellular aging and telomere research,"Epitalon is a synthetic tetrapeptide compound (ala-glu-asp-gly) developed by vladimir khabarov and studied for its potential role in cellular aging and telomere maintenance processes. Research applications include investigations into telomere length modulation, cellular senescence delay, pineal gland function, melatonin secretion regulation, and aging-related gene expression in experimental models.",C14H20N4O9,388.33 g/mol,307297-39-8,"Epithalamin, Ala-Glu-Asp-Gly, AEDG, Epitalon Tetrapeptide",9941958,https://cdn.vicipeptides.com/images/placeholders/epitalon.jpg,,Buy Epitalon 10mg Research Peptide – Vici Peptides,High-purity Epitalon 10mg research peptide available for laboratory research use only from Vici Peptides. Synthetic tetrapeptide for cellular aging and telomere research,TRUE,60,164,1 Vial,10mg vial,"Store lyophilized powder at 2-8°C in airtight, light-blocking containers",24 months,Ships to verified research institutions only,FALSE,"Epitalon is used in laboratory research to investigate cellular aging mechanisms and telomere maintenance. Research applications include studies on telomere length modulation, cellular senescence delay, pineal gland function, melatonin secretion regulation, and aging-related gene expression in experimental models. The compound has been investigated for its potential effects on lifespan extension and age-related disease processes in laboratory settings.","Store lyophilized powder at 2-8°C in airtight, light-blocking containers. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C for up to 14 days. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,epitalon
2,Epitalon,50mg,Beauty / Anti-Aging / Antioxidant,162.00,TRUE,Both,ET50,Synthetic tetrapeptide for cellular aging and telomere research,"Epitalon is a synthetic tetrapeptide compound (ala-glu-asp-gly) developed by vladimir khabarov and studied for its potential role in cellular aging and telomere maintenance processes. Research applications include investigations into telomere length modulation, cellular senescence delay, pineal gland function, melatonin secretion regulation, and aging-related gene expression in experimental models.",C14H20N4O9,388.33 g/mol,307297-39-8,"Epithalamin, Ala-Glu-Asp-Gly, AEDG, Epitalon Tetrapeptide",9941958,https://cdn.vicipeptides.com/images/placeholders/epitalon.jpg,,Buy Epitalon 50mg Research Peptide – Vici Peptides,High-purity Epitalon 50mg research peptide available for laboratory research use only from Vici Peptides. Synthetic tetrapeptide for cellular aging and telomere research,TRUE,61,189,1 Vial,50mg vial,"Store lyophilized powder at 2-8°C in airtight, light-blocking containers",24 months,Ships to verified research institutions only,FALSE,"Epitalon is used in laboratory research to investigate cellular aging mechanisms and telomere maintenance. Research applications include studies on telomere length modulation, cellular senescence delay, pineal gland function, melatonin secretion regulation, and aging-related gene expression in experimental models. The compound has been investigated for its potential effects on lifespan extension and age-related disease processes in laboratory settings.","Store lyophilized powder at 2-8°C in airtight, light-blocking containers. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C for up to 14 days. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,epitalon
3,MOTS-C,10mg,Beauty / Anti-Aging / Antioxidant,68.00,TRUE,Both,MS10,Mitochondrially derived peptide for metabolic research,"Mots-c (mitochondrially derived peptide) is a 16-amino acid peptide encoded within the mitochondrial 12s ribosomal rna gene. Research applications include investigations into metabolic regulation, insulin sensitivity, glucose homeostasis, mitochondrial function, and age-related metabolic disorders in experimental models.",C77H120N20O26S,1861.0 g/mol,N/A,"Mitochondrial ORF of the Twelve S rRNA-c, MOTS-c, Humanin-related peptide",N/A,https://cdn.vicipeptides.com/images/placeholders/mots-c.jpg,,Buy MOTS-C 10mg Research Peptide – Vici Peptides,High-purity MOTS-C 10mg research peptide available for laboratory research use only from Vici Peptides. Mitochondrially derived peptide for metabolic research,TRUE,62,124,1 Vial,10mg vial,Store lyophilized powder at -20°C in a dry environment,36 months,Ships to verified research institutions only,FALSE,"MOTS-C is used in laboratory research to investigate metabolic regulation and mitochondrial function. Research applications include studies on insulin sensitivity, glucose homeostasis, metabolic syndrome, age-related metabolic disorders, and mitochondrial biogenesis in experimental models. The peptide has been investigated for its potential role in metabolic health and longevity pathways.",Store lyophilized powder at -20°C in a dry environment. Protect from light and moisture. Reconstituted solution should be stored at 4°C for up to 14 days. Maintain sterile conditions during reconstitution.,"Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,mots-c
4,MOTS-C,40mg,Beauty / Anti-Aging / Antioxidant,225.00,TRUE,Both,MS40,Mitochondrially derived peptide for metabolic research,"Mots-c (mitochondrially derived peptide) is a 16-amino acid peptide encoded within the mitochondrial 12s ribosomal rna gene. Research applications include investigations into metabolic regulation, insulin sensitivity, glucose homeostasis, mitochondrial function, and age-related metabolic disorders in experimental models.",C77H120N20O26S,1861.0 g/mol,N/A,"Mitochondrial ORF of the Twelve S rRNA-c, MOTS-c, Humanin-related peptide",N/A,https://cdn.vicipeptides.com/images/placeholders/mots-c.jpg,,Buy MOTS-C 40mg Research Peptide – Vici Peptides,High-purity MOTS-C 40mg research peptide available for laboratory research use only from Vici Peptides. Mitochondrially derived peptide for metabolic research,TRUE,63,175,1 Vial,40mg vial,Store lyophilized powder at -20°C in a dry environment,36 months,Ships to verified research institutions only,FALSE,"MOTS-C is used in laboratory research to investigate metabolic regulation and mitochondrial function. Research applications include studies on insulin sensitivity, glucose homeostasis, metabolic syndrome, age-related metabolic disorders, and mitochondrial biogenesis in experimental models. The peptide has been investigated for its potential role in metabolic health and longevity pathways.",Store lyophilized powder at -20°C in a dry environment. Protect from light and moisture. Reconstituted solution should be stored at 4°C for up to 14 days. Maintain sterile conditions during reconstitution.,"Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,mots-c
5,NAD+,100mg,Beauty / Anti-Aging / Antioxidant,45.00,TRUE,Both,NJ100,Essential coenzyme for cellular metabolism and energy production research,"Nicotinamide adenine dinuclectide (nad+) is a coenzyme found in all living cells that plays a critical role in cellular metabolism, energy production, and dna repair mechanisms. Research applications include investigations into cellular aging, mitochondrial function, sirtuin activation, dna repair pathways, and metabolic regulation in experimental models.",C21H27N7O14P2,663.43 g/mol,53-84-9,"Nicotinamide adenine dinucleotide, NAD, Coenzyme I, DPN",5892,https://cdn.vicipeptides.com/images/placeholders/nad-plus.jpg,,Buy NAD+ 100mg Research Peptide – Vici Peptides,High-purity NAD+ 100mg research peptide available for laboratory research use only from Vici Peptides. Essential coenzyme for cellular metabolism and energy production research,TRUE,64,179,1 Vial,100mg vial,Store lyophilized powder at -20°C in a dry environment,24 months,Ships to verified research institutions only,FALSE,"NAD+ is used in laboratory research to investigate cellular metabolism, energy production, and aging mechanisms. Research applications include studies on sirtuin activation, mitochondrial function, DNA repair pathways, cellular senescence, metabolic regulation, and age-related disease processes in experimental models. The coenzyme is essential for numerous cellular processes including glycolysis, oxidative phosphorylation, and DNA repair.","Store lyophilized powder at -20°C in a dry environment. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C and used promptly. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. NAD+ is sensitive to light and should be protected from direct exposure. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,nad-plus
6,NAD+,500mg,Beauty / Anti-Aging / Antioxidant,90.00,TRUE,Both,NJ500,Essential coenzyme for cellular metabolism and energy production research,"Nicotinamide adenine dinuclectide (nad+) is a coenzyme found in all living cells that plays a critical role in cellular metabolism, energy production, and dna repair mechanisms. Research applications include investigations into cellular aging, mitochondrial function, sirtuin activation, dna repair pathways, and metabolic regulation in experimental models.",C21H27N7O14P2,663.43 g/mol,53-84-9,"Nicotinamide adenine dinucleotide, NAD, Coenzyme I, DPN",5892,https://cdn.vicipeptides.com/images/placeholders/nad-plus.jpg,,Buy NAD+ 500mg Research Peptide – Vici Peptides,High-purity NAD+ 500mg research peptide available for laboratory research use only from Vici Peptides. Essential coenzyme for cellular metabolism and energy production research,TRUE,65,91,1 Vial,500mg vial,Store lyophilized powder at -20°C in a dry environment,24 months,Ships to verified research institutions only,FALSE,"NAD+ is used in laboratory research to investigate cellular metabolism, energy production, and aging mechanisms. Research applications include studies on sirtuin activation, mitochondrial function, DNA repair pathways, cellular senescence, metabolic regulation, and age-related disease processes in experimental models. The coenzyme is essential for numerous cellular processes including glycolysis, oxidative phosphorylation, and DNA repair.","Store lyophilized powder at -20°C in a dry environment. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C and used promptly. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. NAD+ is sensitive to light and should be protected from direct exposure. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,nad-plus
7,NAD+,1000mg,Beauty / Anti-Aging / Antioxidant,169.00,TRUE,Both,NJ1000,Essential coenzyme for cellular metabolism and energy production research,"Nicotinamide adenine dinuclectide (nad+) is a coenzyme found in all living cells that plays a critical role in cellular metabolism, energy production, and dna repair mechanisms. Research applications include investigations into cellular aging, mitochondrial function, sirtuin activation, dna repair pathways, and metabolic regulation in experimental models.",C21H27N7O14P2,663.43 g/mol,53-84-9,"Nicotinamide adenine dinucleotide, NAD, Coenzyme I, DPN",5892,https://cdn.vicipeptides.com/images/placeholders/nad-plus.jpg,,Buy NAD+ 1000mg Research Peptide – Vici Peptides,High-purity NAD+ 1000mg research peptide available for laboratory research use only from Vici Peptides. Essential coenzyme for cellular metabolism and energy production research,TRUE,66,81,1 Vial,1000mg vial,Store lyophilized powder at -20°C in a dry environment,24 months,Ships to verified research institutions only,FALSE,"NAD+ is used in laboratory research to investigate cellular metabolism, energy production, and aging mechanisms. Research applications include studies on sirtuin activation, mitochondrial function, DNA repair pathways, cellular senescence, metabolic regulation, and age-related disease processes in experimental models. The coenzyme is essential for numerous cellular processes including glycolysis, oxidative phosphorylation, and DNA repair.","Store lyophilized powder at -20°C in a dry environment. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C and used promptly. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. NAD+ is sensitive to light and should be protected from direct exposure. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,nad-plus
8,Cerebrolysin,60ml,Beauty / Anti-Aging / Antioxidant,160.00,TRUE,Both,CBL60,Neurotrophic peptide preparation for neurological research,"Cerebrolysin is a neurotrophic peptide preparation derived from porcine brain tissue, containing neurotrophic factors including brain-derived neurotrophic factor (bdnf), nerve growth factor (ngf), and other neurotrophic peptides. Research applications include investigations into neuroprotection, neuronal plasticity, synaptic function, cognitive function, and neurodegenerative disease processes in experimental models.",Complex peptide mixture,Variable,N/A,"Cerebrolysin, Brain-derived neurotrophic factors, Neurotrophic peptide complex",N/A,https://cdn.vicipeptides.com/images/placeholders/cerebrolysin-60ml.jpg,,Buy Cerebrolysin 60ml Research Peptide – Vici Peptides,High-purity Cerebrolysin 60ml research peptide available for laboratory research use only from Vici Peptides. Neurotrophic peptide preparation for neurological research,TRUE,67,151,1 Vial,60ml × 10 vials,Store at 2-8°C,24 months,Ships to verified research institutions only,FALSE,"Cerebrolysin is used in laboratory research to investigate neuroprotection and neuronal plasticity. Research applications include studies on cognitive function, synaptic plasticity, neurogenesis, stroke recovery, traumatic brain injury, Alzheimer's disease, and other neurodegenerative conditions in experimental models.",Store at 2-8°C. Protect from light and freezing. Do not freeze. Maintain sterile conditions. Use within expiration date.,"Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,cerebrolysin-60ml
9,Glutathione,600mg,Beauty / Anti-Aging / Antioxidant,60.00,TRUE,Both,GTT600,Tripeptide antioxidant for oxidative stress research,"Glutathione is a tripeptide antioxidant compound (glutamyl-cysteinyl-glycine) found in all living cells. Research applications include investigations into oxidative stress, cellular detoxification, antioxidant defense mechanisms, immune function, and age-related oxidative damage in experimental models.",C10H17N3O6S,307.32 g/mol,70-18-8,"GSH, L-Glutathione, Reduced glutathione, γ-L-Glutamyl-L-cysteinylglycine",124886,https://cdn.vicipeptides.com/images/placeholders/glutathione.jpg,,Buy Glutathione 600mg Research Peptide – Vici Peptides,High-purity Glutathione 600mg research peptide available for laboratory research use only from Vici Peptides. Tripeptide antioxidant for oxidative stress research,TRUE,68,60,1 Vial,600mg vial,Store lyophilized powder at -20°C in a dry environment,24 months,Ships to verified research institutions only,FALSE,"Glutathione is used in laboratory research to investigate oxidative stress and cellular detoxification. Research applications include studies on antioxidant defense mechanisms, cellular redox balance, immune function, liver detoxification, age-related oxidative damage, and protection against reactive oxygen species in experimental models.","Store lyophilized powder at -20°C in a dry environment. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C and used promptly. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Glutathione is sensitive to oxidation and should be protected from air exposure. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,glutathione
10,Glutathione,1500mg,Beauty / Anti-Aging / Antioxidant,159.00,TRUE,Both,GTT1500,Tripeptide antioxidant for oxidative stress research,"Glutathione is a tripeptide antioxidant compound (glutamyl-cysteinyl-glycine) found in all living cells. Research applications include investigations into oxidative stress, cellular detoxification, antioxidant defense mechanisms, immune function, and age-related oxidative damage in experimental models.",C10H17N3O6S,307.32 g/mol,70-18-8,"GSH, L-Glutathione, Reduced glutathione, γ-L-Glutamyl-L-cysteinylglycine",124886,https://cdn.vicipeptides.com/images/placeholders/glutathione.jpg,,Buy Glutathione 1500mg Research Peptide – Vici Peptides,High-purity Glutathione 1500mg research peptide available for laboratory research use only from Vici Peptides. Tripeptide antioxidant for oxidative stress research,TRUE,69,72,1 Vial,1500mg vial,Store lyophilized powder at -20°C in a dry environment,24 months,Ships to verified research institutions only,FALSE,"Glutathione is used in laboratory research to investigate oxidative stress and cellular detoxification. Research applications include studies on antioxidant defense mechanisms, cellular redox balance, immune function, liver detoxification, age-related oxidative damage, and protection against reactive oxygen species in experimental models.","Store lyophilized powder at -20°C in a dry environment. Protect from light, air, and moisture. Reconstituted solution should be stored at 4°C and used promptly. Maintain sterile conditions during reconstitution.","Handle using sterile techniques and appropriate laboratory personal protective equipment (PPE). Use in well-ventilated areas. Avoid inhalation, ingestion, or skin contact. Glutathione is sensitive to oxidation and should be protected from air exposure. Follow standard laboratory safety protocols. Refer to Material Safety Data Sheet (MSDS) for complete safety information.",Data imported from master peptide catalog.,glutathione
